harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
2199936,2199936,1696477568,1696477568,3145856,3145856,16859776,16941568,133497225,133967268,12048000,12025472,57796024,59618144,3342596,3342596,170121332,170121332,693629796,693629796
786560,786560,796670736,796676112,2160768,2160768,3301568,3301568,108202400,109679456,16442944,16442944,38556244,38541122,4497476,4497476,177255596,177255596,692941604,692941604
786560,786560,512703188,512703188,2160768,2160768,3301568,3301568,97735850,97735850,16442944,16442944,34802616,34198000,3727492,3727492,173298376,173298376,692941604,692941604
1768644,1735432,793795284,793795284,2621504,2621504,7315648,7315648,75062980,75062980,15126400,14684544,37933832,37887544,3541380,3541380,170379768,170379768,696716452,696716452
2054592,2054592,512703188,512703188,2621504,2621504,5349568,5349568,96258794,96936172,7223936,7223936,34088740,33540956,3145860,3145860,170424232,170424232,696716452,696716452
1863232,1863232,663248468,663248468,4470912,4470912,8544448,8544448,94197766,97735850,7223936,7223936,34284680,35674904,3342468,3342468,173298376,173298376,665096388,665096388
2668544,2668544,793795284,793795284,2621504,2621504,5349568,5349568,109928960,109928960,11140992,11140992,49476864,45657240,3727492,3727492,170379768,170379768,696716452,696716452
2953600,2953600,1699287032,1699363832,3506432,3506432,11019368,11430528,135637444,135950400,33792768,33792768,47177952,47177952,4470004,4505844,171789780,171789780,697634020,697634020
2898496,2697796,792399572,792399572,7112832,7112832,7315648,7315648,97735850,96997322,15137664,14684544,34226888,34056036,3145860,3145860,170377592,170377592,696716452,696716452
5166336,5166336,792468180,792468180,12830912,12830912,7154944,7154944,98198954,93338271,19507072,19065216,36848842,36345710,4122756,4122756,268441704,268441704,696716452,696716452
2054592,2054592,792449492,792449492,2621504,2621504,14844288,14844288,133414217,133884260,7223936,7223936,38674010,36508320,4505860,4505860,170377592,170377592,696716452,696716452
2705920,2677120,1868654732,1868654732,2621504,2621504,7198016,7198016,97735850,95520266,25970048,25970048,39346848,41111384,6062340,5965052,170377592,170377592,696716452,696716452
