harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     15     135     825,     31     279    1705,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     17     153     935,     77     693    4235,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     20     180    1100,     80     720    4400,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     17     153     935,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      7      63     385,      7      63     385,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     15     135     825,     31     279    1705,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     91     819    5005,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      1       9      55,      0       0       0,      1       9      55,      1       9      55,     15     135     825,     13     117     715,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     20     180    1100,     20     180    1100,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     17     153     935,     22     198    1210,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     90     810    4950,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     66     594    3630,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     19     171    1045,     17     153     935,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     36     324    1980,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,     16     144     880,     10      90     550,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     27     243    1485,     27     243    1485,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     65     585    3575,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
