harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
178.978738,230.797682,1804.414192,2457.574715,276.898691,209.573297,252.035441,168.394388,868.576544,949.112556,518.412482,491.038029,1774.302634,2302.097675,108.897272,107.273419,953.567611,825.595928,126.086119,112.561137
323.502526,370.397922,4028.788050,3757.446762,139.797555,195.508299,170.395361,134.343330,999.336713,988.750003,516.268394,537.652294,2165.903098,1601.923027,135.483340,133.035702,897.624394,981.253433,110.840162,119.010665
221.240428,284.967092,3301.075224,3663.780555,209.707677,206.544621,137.969977,143.875681,1105.681145,947.896689,493.234310,474.781873,2262.280209,2183.692711,101.781969,98.066027,1205.267858,1040.893889,120.550713,121.377643
341.226621,322.899671,4598.957929,4664.458156,221.328246,219.121188,108.077002,110.631193,1204.529843,1152.672302,344.903506,510.152569,2372.428460,2578.924615,98.967493,101.876468,1005.027656,1043.554767,126.426082,123.665990
255.008978,245.478011,4816.225056,4995.535244,251.657341,230.414061,251.073855,249.407109,1205.855583,818.481455,368.793893,314.031566,1904.451075,1801.095444,115.756895,111.920447,989.286184,975.451389,129.801315,129.082073
281.243122,269.143670,3702.094894,3743.288850,215.996833,226.339414,197.647384,187.728453,979.288140,930.515135,365.785210,330.540438,3081.002893,3110.441911,137.045727,133.230126,739.568835,788.124651,242.056395,232.604228
238.399123,232.878702,3948.901021,3829.725092,257.345760,251.653103,101.009670,134.713467,968.507711,989.454348,478.328047,400.816804,2697.744463,2486.949104,105.194129,96.498245,950.001654,895.926326,258.399806,211.030554
320.936162,310.282709,2994.219349,3211.485700,284.529596,273.985731,256.071724,243.042080,941.241348,907.474749,587.144482,601.831741,3265.384695,3262.138523,139.982888,139.471191,748.052184,822.662802,172.256988,229.629789
279.610159,262.198080,3721.274001,3852.596199,148.082140,142.061418,281.392848,192.289258,685.277360,460.304218,386.094436,445.963682,2070.947176,1933.640915,103.323267,96.534594,908.310124,875.270549,265.297480,188.347336
421.295041,398.174109,3872.854562,3956.907919,251.330483,249.472000,162.910175,168.366907,694.950532,667.898107,472.353586,447.302479,2425.549924,1976.298075,121.556973,116.843975,1131.408095,1153.903429,146.493916,136.548766
364.058655,298.433456,2925.014713,3717.766585,197.723558,203.255674,133.055530,131.620140,1115.159008,845.724681,454.594596,408.642469,3169.225538,3180.261582,115.583244,117.164508,1010.993030,979.255563,263.876167,182.226930
304.032012,259.280211,4858.528258,4903.224600,194.744419,213.600004,159.878914,154.456702,761.438767,692.909390,380.581821,458.990295,2097.395535,2567.956205,93.310552,87.903446,995.462063,971.871739,250.071662,259.885524
370.787520,392.588556,5156.979669,5189.696525,158.565127,167.562788,269.698350,262.581654,986.043133,979.414821,397.755768,273.678178,1957.425936,1460.742023,113.411030,113.735695,909.755896,989.295985,127.735873,115.598249
241.381507,229.785076,4607.985591,4677.753836,229.201083,195.336083,140.933715,142.666931,674.173855,636.497145,435.396191,450.658374,2396.708259,2285.846856,164.408308,169.763137,956.903370,686.957738,122.817953,118.944474
298.567615,216.821309,4481.686091,3830.721500,189.978794,187.208416,233.193590,184.554653,732.021334,682.497059,386.553578,368.204569,2778.203317,2820.543744,150.637500,149.159681,1011.995855,1015.937659,135.150534,124.724581
