harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
2.39831,2.5703,75.7448,74.2183,4.1433,4.12474,8.68533,8.64182,7.43014,7.35886,13.1394,13.5709,20.7483,21.275,0.971724,0.973101,27.551,28.6529,184.715,175.528
1.76567,1.96291,88.591,87.3208,3.06528,3.11999,9.18455,8.8414,7.09736,7.34462,13.5986,14.0715,20.8007,19.6523,0.992029,0.999505,29.9013,30.6502,170.807,163.916
2.24515,2.1285,76.5743,75.5682,2.68873,2.67051,8.55428,8.2201,10.5766,11.3056,10.6843,11.3209,12.8548,12.0688,1.02651,1.02606,27.7493,29.3945,119.444,121.518
2.54735,2.55675,78.6656,77.8564,4.82979,4.87118,8.7967,9.18471,7.39546,7.37279,13.2446,13.2593,22.404,22.539,0.982811,0.990805,24.6729,26.8209,189.769,194.237
3.94089,3.87222,70.5103,66.6345,4.0261,4.00346,8.35453,8.53581,9.58925,9.50357,10.967,11.6728,36.4522,35.2073,1.00427,1.00158,32.2485,30.9652,227.592,224.957
1.37817,1.41034,87.6273,86.4497,2.3649,2.37358,7.63416,7.82531,7.04329,7.00896,8.18872,7.79077,16.9437,15.0204,0.960804,0.976749,31.4161,29.67,104.161,107.639
4.22726,4.06865,75.1606,69.6759,2.40399,2.38626,7.41695,7.24487,,,10.0033,10.0459,19.2064,19.4824,0.953049,0.981325,25.3409,24.4108,145.817,150.708
1.81728,1.74372,80.8435,81.3805,3.87942,4.00742,7.93035,8.14701,10.8686,10.6481,11.5702,11.9788,19.797,19.4405,0.976854,0.989922,26.218,26.8429,172.082,171.497
1.87281,1.82901,74.453,76.344,3.26026,3.25745,8.33635,8.17338,7.13412,6.93714,10.6498,10.2441,13.908,15.327,1.07815,1.07201,25.3724,27.0567,170.751,169.754
1.46038,1.4586,65.257,62.3605,2.96917,2.98046,7.47712,7.43172,16.002,14.9435,19.8745,19.6331,14.0855,14.5002,0.990821,1.00257,25.8445,25.5596,171.608,174.761
2.41893,2.14958,77.9338,74.5349,4.40617,4.39673,8.16156,8.23133,8.39365,8.19617,11.5049,11.3784,19.3568,18.7949,1.02907,1.00602,29.6155,29.3669,125.435,123.833
1.35449,1.37147,71.5307,70.2563,2.93342,2.96146,8.41207,8.31901,13.321,12.183,30.6109,30.9213,15.5962,16.7561,0.929709,0.930008,29.8616,28.7501,158.947,160.347
